interval_start_utc,,net_load,renewables,renewables_to_load_ratio,load.load,load_forecast.load_forecast,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,battery_discharge_to_load_ratio
2024-05-03 22:00:00,,28431.1666666667,29279.2416666667,0.507900685214416,57647.1666666667,56735.6815567017,4282.78333333333,63.2416666666667,3715.2,155.041666666667,7593.38333333333,21622.6166666667,20124.275,0,0.002689441876711
2024-05-03 23:00:00,,28661.925,27858.0583333333,0.493331679946151,56456.8333333333,56768.5334091186,4283.16666666667,63.15,3715.15,114.391666666667,4906.31666666667,22888.5916666667,20295.3583333333,0,0.002026863721379
2024-05-04 00:00:00,,29565.2666666667,25210.975,0.461094120685145,54665.6666666667,55350.7322006226,4313.61666666667,110.575,3714.54166666667,315.791666666667,1538.30833333333,23562.0916666667,20926.6583333333,0,0.005792935367339
2024-05-04 01:00:00,,29976.1583333333,24357.625,0.448816987889451,54270.4166666667,54075.8511861165,4278.66666666667,63.3666666666667,3714.825,297.525,83,24211.2583333333,21529.0166666667,0,0.005481310346094
2024-05-04 02:00:00,,28966.3416666667,23973.6416666667,0.453371951788522,52876.3333333333,53464.8414662679,4183.88333333333,63.65,3715.30833333333,99.2583333333333,0.541666666666667,23909.45,21006.4833333333,0,0.001879506797779
2024-05-04 03:00:00,,27422.175,23287.3166666667,0.459847794524016,50646.0833333333,50788.0637410482,3988.50833333333,63.4083333333333,3717.725,150.85,0.666666666666667,23223.2416666667,19561.175,0,0.002964448590262
2024-05-04 04:00:00,,24720.2166666667,23361.275,0.486643610889355,48017.75,48279.9782409668,3994.91666666667,63.7416666666667,3718.225,113.85,0.575,23296.9583333333,16963,0,0.002379846031119
2024-05-04 05:00:00,,22027.1583333333,23731.2833333333,0.519423246187304,45694.5833333333,45795.7126413981,3912.775,63.8583333333333,3718.13333333333,57.4916666666667,0.658333333333333,23666.7666666667,14484.9166666667,0,0.001265461078901
2024-05-04 06:00:00,,21045.5083333333,22864.75,0.521415676908267,43846.8333333333,44079.4333267212,3734.78333333333,63.425,3716.89166666667,35.5666666666667,0.4,22800.925,13605.275,0,0.000823186886777
2024-05-04 07:00:00,,20779.4,21419.0416666667,0.508480735233366,42118.75,42692.4325294495,3435.3,79.6916666666667,3715.35,40.6166666666667,0.441666666666667,21338.9083333333,13651.2416666667,0,0.000963948532075
2024-05-04 08:00:00,,21818.9666666667,19441.1916666667,0.471840277084937,41197.4166666667,41215.0739593506,3499.93333333333,62.7416666666667,3715.01666666667,8.69166666666667,0.366666666666667,19378.0833333333,14564.3083333333,0,0.000210983960766
2024-05-04 09:00:00,,22732.1916666667,18091.3083333333,0.443809313288451,40760.6666666667,40912.7793134054,3570.25,62.8333333333333,3715.84166666667,22,0.433333333333333,18028.0416666667,15427.2166666667,0,0.000539546338026
2024-05-04 10:00:00,,24131.5333333333,16839.9666666667,0.411722843230303,40908.5833333333,41046.4518992106,3773.28333333333,62.9166666666667,3715.525,88.2583333333333,0.408333333333333,16776.6416666667,16590.05,0,0.002155076240741
