interval_start_utc,interval_end_utc,net_load,renewables,renewables_to_load_ratio,load.load,load_forecast.load_forecast,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,battery_discharge_to_load_ratio
2024-05-25 08:00:00+00:00,2024-05-25 09:00:00+00:00,28931.55833333333,18867.658333333333,0.39510919080755363,47753.333333333333,47863.37921142578,3685.8250000000003,45.883333333333326,5010.358333333334,41.608333333333334,0.3,18821.475000000002,19975.19166666667,50.541666666666664,0.0008708973731258781
2024-05-25 09:00:00+00:00,2024-05-25 10:00:00+00:00,29564.8,17518.433333333334,0.37239515581941646,47037.333333333333,47190.954582214355,3608.6666666666665,45.900000000000006,5011.466666666667,57.55833333333334,0.5166666666666667,17472.016666666666,20746.30833333333,50.53333333333334,0.0012266710718177717
2024-05-25 10:00:00+00:00,2024-05-25 11:00:00+00:00,31187.641666666666,15660.6,0.3346204836665822,46802.333333333333,46887.6362024943,3672.1,45.90833333333334,5011.808333333333,64.14999999999999,0.28333333333333327,15614.408333333333,22233.649999999998,50.51666666666666,0.0013706668337958243
2024-05-25 11:00:00+00:00,2024-05-25 12:00:00+00:00,32862.83333333333,14193.133333333331,0.3019150980186889,47010.000000000000,46813.386082967125,4117.749999999999,45.96666666666667,5011.8166666666675,193.2083333333333,69.71666666666667,14077.449999999999,23580.975000000002,50.53333333333333,0.004111359840378927
2024-05-25 12:00:00+00:00,2024-05-25 13:00:00+00:00,33042.99166666667,15101.516666666665,0.31382166663006306,48098.500000000000,48085.20732116699,4409.9416666666675,46.008333333333326,5011.650000000001,109.8583333333333,2741.5333333333333,12313.975,23602.38333333333,50.574999999999996,0.002296864992554407
2024-05-25 13:00:00+00:00,2024-05-25 14:00:00+00:00,31928.308333333338,18835.000000000004,0.37107879996690957,50717.500000000000,50486.16059366862,4160.133333333334,45.80833333333333,5010.866666666666,64.53333333333335,8182.650000000001,10606.541666666668,22715.358333333334,50.59166666666666,0.0012654385263611392
2024-05-25 14:00:00+00:00,2024-05-25 15:00:00+00:00,30141.066666666666,23753.649999999998,0.44081535219118284,53849.000000000000,53843.523485819496,4150.141666666666,45.71666666666667,5011.083333333333,66.94166666666666,12006.058333333334,11701.875,20987.10833333333,50.59166666666667,0.0012339531152285466
2024-05-25 15:00:00+00:00,2024-05-25 16:00:00+00:00,30103.274999999998,27527.091666666664,0.4779725019003614,57584.666666666667,57031.062815348305,4603.75,45.69999999999999,5009.883333333332,54.349999999999994,14463.383333333337,13018.008333333333,20501.725,63.68333333333334,0.0009385970788377855
2024-05-25 16:00:00+00:00,2024-05-25 17:00:00+00:00,31402.25833333333,29851.933333333334,0.48764792020586434,61208.500000000000,61050.64287312826,5045.225,45.69166666666666,5007.783333333334,139.34166666666667,15400.108333333335,14406.133333333333,21294.55,91.83333333333333,0.0022680838745620024
2024-05-25 17:00:00+00:00,2024-05-25 18:00:00+00:00,32228.11666666667,32567.2,0.5031039914131465,64719.833333333333,64353.99759928385,4962.258333333333,75.48333333333333,5005.991666666666,97.10833333333333,16015.941666666668,16475.775,22336.600000000002,99.91666666666667,0.0015027916395401045
