interval_start_utc,interval_end_utc,net_load,renewables,renewables_to_load_ratio,load.load,load_forecast.load_forecast,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,battery_discharge_to_load_ratio
2024-05-01 05:00:00+00:00,2024-05-01 06:00:00+00:00,24748.15833333333,22758.00833333333,0.47970475012354225,47445.666666666667,48282.14436086019,3978.441666666666,60.5,3713.091666666667,187.57499999999996,2.8666666666666667,22694.641666666663,16804.191666666666,0.0,0.003953715466446604
2024-05-01 06:00:00+00:00,2024-05-01 07:00:00+00:00,23564.658333333336,21896.00833333333,0.48228259464764395,45400.500000000000,45448.601488749184,3982.0083333333337,60.16666666666666,3711.7166666666667,49.12500000000001,4.258333333333333,21831.583333333332,15735.949999999999,0.0,0.0010784466380636588
2024-05-01 07:00:00+00:00,2024-05-01 08:00:00+00:00,23058.766666666666,20939.908333333333,0.4767093496166142,43920.500000000000,44263.150006612144,3883.3333333333335,78.175,3712.3250000000003,38.41666666666667,0.6499999999999999,20861.083333333332,15316.70833333333,0.0,0.0008743331681056262
2024-05-01 08:00:00+00:00,2024-05-01 09:00:00+00:00,23071.141666666663,19807.191666666666,0.4626207095838559,42816.833333333333,43325.73988342286,3808.8333333333335,61.5,3713.025,20.55833333333333,0.3,19745.391666666666,15442.358333333332,0.0,0.0004816348665225816
2024-05-01 09:00:00+00:00,2024-05-01 10:00:00+00:00,22487.108333333334,20408.758333333335,0.47644132620503693,42835.750000000000,42868.85393269857,3813.2250000000004,60.116666666666674,3713.5916666666667,24.224999999999998,0.6083333333333333,20348.033333333336,14793.749999999998,0.0,0.0005648044333574144
2024-05-01 10:00:00+00:00,2024-05-01 11:00:00+00:00,24051.21666666667,20135.475000000002,0.456391827388112,44126.500000000000,44009.49912261963,3864.7000000000003,60.19166666666667,3713.083333333334,59.491666666666674,0.6666666666666665,20074.61666666667,16298.125,0.0,0.0013509306192805472
2024-05-01 11:00:00+00:00,2024-05-01 12:00:00+00:00,27088.908333333336,19412.533333333336,0.41808239910980416,46441.166666666667,45994.942225138344,3991.3916666666664,60.275,3713.4,321.55,11.333333333333334,19340.925,18924.78333333333,0.0,0.006923192167707928
2024-05-01 12:00:00+00:00,2024-05-01 13:00:00+00:00,28116.075000000008,19295.108333333334,0.407486722559989,47350.916666666667,47421.7389793396,4190.683333333333,60.26666666666666,3712.6666666666665,210.475,1121.4333333333334,18113.408333333333,19860.550000000003,0.0,0.004446489204609212
2024-05-01 13:00:00+00:00,2024-05-01 14:00:00+00:00,26475.441666666666,22036.31666666667,0.4546896056967193,48451.500000000000,48198.2833404541,4497.808333333333,60.25833333333335,3713.108333333333,49.758333333333326,4801.499999999999,17174.558333333334,18366.383333333335,0.0,0.0010294828243458867
2024-05-01 14:00:00+00:00,2024-05-01 15:00:00+00:00,24610.900000000005,25488.55,0.5093315739693193,50035.583333333333,49613.52581151327,4489.233333333334,63.86666666666667,3713.4499999999994,83.68333333333334,6963.108333333334,18461.575,16504.541666666668,0.0,0.0016690817851103747
2024-05-01 15:00:00+00:00,2024-05-01 16:00:00+00:00,24693.99166666667,27105.433333333334,0.5240815368842134,51717.666666666667,51433.24006652832,4271.091666666667,81.75833333333334,3713.3250000000003,151.225,8017.125,19006.55,16702.724999999995,0.0,0.0029308414867342323
2024-05-01 16:00:00+00:00,2024-05-01 17:00:00+00:00,25087.508333333335,28651.308333333334,0.533988093050595,53656.750000000000,53269.2570139567,4400.391666666666,82.06666666666668,3712.9083333333333,77.28333333333335,9497.866666666667,19071.375000000004,17024.574999999997,0.0,0.001449742816062658
2024-05-01 17:00:00+00:00,2024-05-01 18:00:00+00:00,25682.333333333332,29592.449999999997,0.5360504385933794,55206.166666666667,55238.43697102865,4460.525000000001,68.61666666666669,3712.033333333333,82.69166666666666,10570.558333333334,18953.274999999998,17382.875,0.0,0.001495152786509351
2024-05-01 18:00:00+00:00,2024-05-01 19:00:00+00:00,26677.224999999995,29966.225000000002,0.529606233566254,56583.333333333333,56278.20642598469,4461.299999999999,60.11666666666667,3711.7416666666654,130.0,10343.208333333334,19562.899999999998,18322.933333333334,0.0,0.002294589575803955
2024-05-01 19:00:00+00:00,2024-05-01 20:00:00+00:00,27372.691666666666,30042.233333333337,0.5237900517368694,57355.083333333333,57385.63033548991,4334.4,59.84166666666667,3711.258333333333,144.51666666666668,9464.908333333335,20517.483333333334,19146.575,0.0,0.0025189633413318204
2024-05-01 20:00:00+00:00,2024-05-01 21:00:00+00:00,28007.8,30035.283333333336,0.5180096689480844,57983.000000000000,58803.63586934408,4399.466666666666,60.08333333333334,3710.683333333333,147.42499999999998,8402.616666666667,21572.583333333332,19832.391666666666,0.0,0.0025453215099799603
